filenames,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,labels
Jungfraujoch_m202001231300.jpg,-0.99619734,0.32941118,2.5346444,-0.085609004,-0.35099894,-0.00043634698,-0.17073989,3.0116625,-2.1192048,-1.1166104,1.6720332,0.17397824,-1.0633793,3.1659331,-0.4130587,2.1809828,0.4006538,-0.3404926,0.5192741,0.41407424,1.3024997,-3.040838,-1.446833,-1.5157881,0.5753363,0.7125385,-1.95719,-2.4413605,-2.8261392,-0.399747,-0.49547303,1.0204618,0
Jungfraujoch_m202001241300.jpg,0.044015422,-0.22217773,-1.0511205,0.9523733,-0.574703,1.0850099,-0.30938184,-1.7977248,0.2403902,0.4922197,-0.66084373,-0.24403587,1.0764251,-1.3117108,1.2799141,-1.8952472,-0.21802971,-0.36329865,0.26326537,-0.52823997,0.6245461,0.719533,0.91416657,1.1103939,-0.9995239,-0.22528802,0.8522211,1.1182162,0.5098086,0.95477605,1.6648581,0.063309,0
Jungfraujoch_m202001251300.jpg,-1.2834135,-0.5078759,0.897085,0.74049836,1.4049985,0.5290613,0.56941605,3.1306162,-1.7886155,0.7283454,1.8540803,-0.26064432,-0.45937634,2.5963588,-0.18498434,1.0924635,0.4236449,0.6286445,0.06827107,0.74450165,-0.5493196,-1.0522655,-0.6353841,-1.4174972,0.6362651,0.7950688,-1.4298007,-1.8215532,-2.8751202,-1.1085325,-0.56585634,1.9468288,0
Jungfraujoch_m202001261300.jpg,-1.7301078,-1.4698119,-0.97973055,2.7178223,3.4425776,0.6771658,0.7484354,3.7096293,-0.7801738,2.7373679,1.4780536,-0.5554006,0.7452994,1.7846781,0.4010751,-0.33956197,0.19739065,2.1991966,0.26572323,0.33778825,-2.736985,1.6541768,1.1534084,-1.2552425,0.6363398,0.15508452,5.1617622e-05,-0.52266294,-2.6374955,-1.1174754,-0.49210444,2.678276,0
Jungfraujoch_m202001271300.jpg,-0.42230153,-0.64048,-0.6035387,1.3036981,0.48841012,0.59895796,-0.062757984,0.24456832,-0.10801494,0.9029092,0.19088903,-0.34638003,0.6727672,-0.098216474,0.49039885,-0.7896958,-0.22816257,0.15857777,0.29765907,-0.37992257,-0.31656766,0.8181388,0.49380818,0.11646961,-0.28805977,-0.3384524,0.38757145,0.5069156,-0.3982114,0.1534472,0.4431954,0.7773876,0
Jungfraujoch_m202001281300.jpg,0.1729562,-0.08362025,-0.9253117,0.8549433,-0.79370844,1.0628449,-0.32110777,-1.9603074,0.22223225,0.22817422,-0.7568087,-0.29846406,1.0821706,-1.38189,1.2768579,-1.8755492,-0.15916556,-0.50647175,0.3030587,-0.50364625,0.917868,0.48341227,0.8832853,1.127853,-1.1570195,-0.115566224,0.88743097,1.0854943,0.5776354,1.1389518,1.6989069,-0.015305596,0
Jungfraujoch_m202001291300.jpg,-0.17316349,-0.4822798,-0.47314304,0.8160324,0.04099275,0.83780897,0.073019534,-0.14256614,-0.26442978,0.3984134,0.10035624,-0.4839911,0.5037556,-0.07076174,0.19808742,-0.5984702,-0.15735002,-0.33139923,0.22016686,-0.27205697,0.40278363,0.461047,0.20941012,0.1106666,-0.55910176,-0.21093346,0.34083533,0.34919405,-0.1326877,0.31202364,0.8513893,0.6761179,0
Jungfraujoch_m202001301300.jpg,-1.0247293,-0.4947611,0.6240395,1.0119908,1.5338225,0.21286198,0.89802647,3.3004766,-1.674669,0.7503296,1.2412854,0.025870834,-0.6319335,2.1952293,-0.38910347,1.5794874,0.23055683,0.45973003,-0.48388475,0.8984354,-0.87624156,-0.533744,-1.0314955,-1.3263218,1.035038,0.70407295,-1.3112175,-2.0468764,-2.5747452,-1.3010164,-0.9256927,2.1094134,0
Jungfraujoch_m202001311300.jpg,-0.83967024,0.20855808,1.8127263,0.13441202,0.015023436,0.012065763,0.1659715,2.7999759,-1.7083058,-0.5440988,1.3594152,-0.064535215,-0.85911745,2.5538225,-0.5236989,1.8932327,0.47075817,-0.35090604,0.049623225,0.5438909,0.5191905,-2.1209986,-1.2836368,-1.2456647,0.6995498,0.5912249,-1.4598557,-1.9835536,-2.5285518,-0.6853082,-0.45668468,1.2794602,0
Jungfraujoch_m202002011300.jpg,-1.2526532,-1.4317548,-0.80633897,2.8263958,3.2342634,0.76407754,0.6714542,3.7495508,-0.8067383,2.576424,1.3250024,-0.25495458,0.5752998,1.7567858,-0.033583738,0.12813242,0.23376915,2.2322495,0.076698214,0.67475003,-2.228331,1.4284945,0.797382,-1.2574972,0.36421797,0.21921618,-0.5041408,-1.062144,-2.5714788,-0.87903833,-0.5673558,2.8309023,0
Jungfraujoch_m202002021300.jpg,0.15617608,-0.12969597,-0.91468316,0.8667466,-0.72194517,1.0669518,-0.31149155,-1.8886124,0.23490068,0.29619175,-0.6967974,-0.25968742,1.0623193,-1.3322934,1.2326168,-1.8244423,-0.19476037,-0.45483342,0.31728613,-0.51635176,0.827921,0.51305705,0.8792238,1.0999291,-1.0924844,-0.14085375,0.8376089,1.0680711,0.54217863,1.0614585,1.6485605,-0.0068160156,0
Jungfraujoch_m202002031300.jpg,-0.08105094,-0.6105332,-0.2890014,1.2925806,0.2632627,0.7819999,-0.18556127,0.25896406,-0.37601355,0.84626395,0.27515733,0.16621754,0.6982212,0.33369142,0.49701926,-0.42607886,-0.14089261,0.20276,0.28632686,-0.07613395,0.07205401,0.073511474,0.29826814,0.2521127,-0.40165672,-0.2622612,0.015426017,-0.03958533,-0.837175,-0.0983938,0.610942,0.93424535,0
Jungfraujoch_m202002041300.jpg,-0.28370136,-0.23849101,2.071508,0.34559745,-0.16677985,0.73699975,0.07194105,1.4289104,-1.7002697,-0.5980874,1.7658001,-0.0915108,-0.1344622,2.6131396,-0.43594575,1.3157351,0.26529616,-0.49796876,0.759921,0.40442395,2.081501,-2.3214958,-0.9525618,-1.0693212,-0.29035053,0.35015288,-1.5645198,-1.8009992,-2.3806686,0.29812586,0.2598402,1.0300233,0
Jungfraujoch_m202002051300.jpg,-2.0193415,-0.7296236,-4.055644,1.983179,3.900612,0.82682776,0.982646,1.5277865,-0.35452333,3.8217025,2.3688765,-0.4406398,0.64855164,0.5917377,1.935977,-3.2299743,1.21591,2.1322103,0.21502635,0.21275002,-3.8691947,2.0667748,2.612746,-0.51636976,0.4065697,-1.1428978,1.9807779,1.6011918,-2.0992742,-2.7277985,0.68454766,3.3991385,0
Jungfraujoch_m202002061300.jpg,-0.88245356,-0.65956056,-0.20860896,1.5092223,2.0574849,0.17052338,1.0090905,3.1765027,-1.265089,1.217026,0.9697271,0.43092674,-0.6669605,1.8552847,-0.23825693,1.0462608,0.40661478,1.0876578,-0.6275557,0.6671772,-1.7772074,0.2779563,-0.6547979,-1.0860959,1.1535437,0.62274605,-0.8407096,-1.926156,-2.5200534,-1.5715744,-1.189134,2.1258838,0
Jungfraujoch_m202002071300.jpg,-0.85574603,0.38235146,2.0930495,-0.09092884,-0.4065694,0.011841591,-0.01870857,2.7423964,-1.9117815,-1.007401,1.3558118,0.295542,-1.2280192,2.7542696,-0.3992939,2.0399163,0.3833651,-0.35298413,0.42738017,0.3267147,1.1150283,-2.7632267,-1.5613602,-1.2538068,0.67964983,0.46427548,-1.7561387,-2.2183275,-2.522023,-0.60345477,-0.42118737,0.94967103,0
